1,2.1020,98.32,2.1219,99.00
2,2.0182,99.97,2.0844,99.33
3,2.0030,99.99,2.1005,98.59
4,1.9944,99.99,2.0642,99.59
5,1.9884,99.99,2.0552,99.36
6,1.9837,100.00,2.0471,99.41
7,1.9807,100.00,2.0325,99.71
8,1.9785,100.00,2.0325,99.51
9,1.9759,100.00,2.0254,99.72
10,1.9740,100.00,2.0297,99.47
11,1.9725,100.00,2.0319,99.54
12,1.9712,100.00,2.0214,99.60
13,1.9701,100.00,2.0181,99.75
14,1.9689,100.00,2.0130,99.74
15,1.9681,100.00,2.0129,99.75
16,1.9674,100.00,2.0136,99.60
17,1.9665,100.00,2.0070,99.82
18,1.9660,100.00,2.0045,99.74
19,1.9654,100.00,2.0031,99.69
20,1.9648,100.00,2.0029,99.76
21,1.9642,100.00,2.0103,99.66
22,1.9638,100.00,2.0008,99.69
23,1.9633,100.00,1.9999,99.72
24,1.9628,100.00,1.9978,99.71
25,1.9625,100.00,1.9945,99.71
26,1.9621,100.00,1.9941,99.71
27,1.9618,100.00,1.9955,99.71
28,1.9615,100.00,1.9927,99.69
29,1.9612,100.00,1.9928,99.60
30,1.9609,100.00,1.9888,99.66
31,1.9607,100.00,1.9924,99.69
32,1.9605,100.00,1.9895,99.58
33,1.9602,100.00,1.9894,99.56
34,1.9601,100.00,1.9926,99.60
35,1.9599,100.00,1.9896,99.49
36,1.9596,100.00,1.9869,99.56
37,1.9594,100.00,1.9890,99.47
38,1.9591,100.00,1.9879,99.60
39,1.9591,100.00,1.9844,99.55
40,1.9589,100.00,1.9993,99.61
41,1.9587,100.00,1.9858,99.56
42,1.9588,100.00,1.9884,99.36
43,1.9585,100.00,1.9840,99.41
44,1.9583,100.00,1.9831,99.52
45,1.9582,100.00,1.9844,99.59
46,1.9581,100.00,1.9820,99.54
47,1.9580,100.00,1.9826,99.55
48,1.9579,100.00,1.9803,99.45
49,1.9577,100.00,1.9822,99.42
50,1.9578,100.00,1.9853,99.27
51,1.9577,100.00,1.9836,99.15
52,1.9575,100.00,1.9871,99.43
53,1.9574,100.00,1.9838,99.25
54,1.9572,100.00,1.9774,99.51
55,1.9572,100.00,1.9777,99.42
56,1.9571,100.00,1.9853,99.30
57,1.9571,100.00,1.9809,99.36
58,1.9570,100.00,1.9808,99.16
59,1.9570,100.00,1.9885,99.42
60,1.9569,100.00,1.9843,99.33
61,1.9568,100.00,1.9808,99.43
62,1.9567,100.00,1.9834,99.38
63,1.9567,100.00,1.9814,99.23
64,1.9566,100.00,1.9798,99.19
65,1.9565,100.00,1.9770,99.32
66,1.9564,100.00,1.9761,99.34
67,1.9564,100.00,1.9762,99.34
68,1.9563,100.00,1.9760,99.42
69,1.9563,100.00,1.9771,99.41
70,1.9563,100.00,1.9767,99.30
71,1.9562,100.00,1.9782,99.23
72,1.9562,100.00,1.9773,99.30
73,1.9561,100.00,1.9832,99.27
74,1.9561,100.00,1.9775,99.19
75,1.9560,100.00,1.9760,99.34
76,1.9560,100.00,1.9757,99.30
77,1.9560,100.00,1.9777,99.34
78,1.9559,100.00,1.9782,99.34
79,1.9559,100.00,1.9742,99.40
80,1.9558,100.00,1.9761,99.35
81,1.9558,100.00,1.9762,99.23
82,1.9558,100.00,1.9754,99.20
83,1.9558,100.00,1.9814,99.02
84,1.9557,100.00,1.9772,99.22
85,1.9557,100.00,1.9801,99.08
86,1.9563,100.00,2.0234,96.74
87,1.9566,100.00,2.0075,97.30
88,1.9558,100.00,1.9968,97.83
89,1.9556,100.00,1.9910,98.08
90,1.9555,100.00,1.9887,98.34
91,1.9555,100.00,1.9907,98.15
92,1.9555,100.00,1.9883,98.21
93,1.9554,100.00,1.9913,98.15
94,1.9554,100.00,1.9862,98.42
95,1.9554,100.00,1.9885,98.27
96,1.9554,100.00,1.9885,98.26
97,1.9554,100.00,1.9846,98.48
98,1.9553,100.00,1.9868,98.36
99,1.9553,100.00,1.9865,98.31
100,1.9553,100.00,1.9847,98.48
